Number of Clusters,Distance Metric,Silhouette Score,Time in seconds for Kmed clustering,ClockCycles for Kmed clustering,Time in seconds for Silhoutte score,ClockCycles for Silhoutte score
K=2,Manhattan,0.675864,7.80E+00,3994559856,1.13E+01,5808582475
K=3,Manhattan,0.543068,7.81E+00,3998738453,1.02E+01,5236499172
K=4,Manhattan,0.545298,7.81E+00,3999879547,1.02E+01,5240704751
K=6,Manhattan,0.282759,7.82E+00,4005176431,9.10E+00,4658362194
K=8,Manhattan,0.326556,7.82E+00,4003746381,9.04E+00,4629724302
K=10,Manhattan,0.330335,7.84E+00,4013373734,9.41E+00,4819855665
K=2,Euclidean,0.466717,1.16E+00,591404151,6.95E+00,3560189609
K=3,Euclidean,0.361662,1.72E+00,878883557,6.21E+00,3178010931
K=4,Euclidean,0.332326,2.38E+00,1220088368,6.16E+00,3154655753
K=6,Euclidean,0.246667,3.36E+00,1722732028,6.08E+00,3112153174
K=8,Euclidean,0.23206,4.47E+00,2287562894,5.71E+00,2921833206
K=10,Euclidean,0.218921,5.91E+00,3028204695,5.80E+00,2967372504
